business_unit,week,year,type,total_revenue,avg_revenue,total_quantity
ADVENTURING,1,2022,ARMS & ARMOUR,11005502,14576.823841059602,4266
ADVENTURING,1,2022,JEWELRY,678077,10763.126984126984,327
ADVENTURING,1,2022,MUSICAL INSTRUMENT,848001,9528.101123595505,487
ADVENTURING,1,2022,POTIONS & SCROLLS,2098000,10334.975369458129,1162
ADVENTURING,1,2022,SUMMONING DEVICE,88691,12670.142857142857,37
ADVENTURING,1,2022,TOOLS & KITS,3269915,10514.1961414791,1694
ADVENTURING,1,2023,ADVENTURING EQUIPMENT,5131313,10041.708414872799,2779
ADVENTURING,1,2023,ANIMALS & TRANSPORTATION,1190194,10532.690265486726,606
ADVENTURING,1,2023,ARMS & ARMOUR,10895445,15498.499288762447,3760
ADVENTURING,1,2023,JEWELRY,672948,9346.5,431
ADVENTURING,1,2023,MUSICAL INSTRUMENT,833129,9918.202380952382,455
ADVENTURING,1,2023,POTIONS & SCROLLS,1972983,10275.953125,1003
ADVENTURING,1,2023,SUMMONING DEVICE,38162,12720.666666666666,22
ADVENTURING,1,2023,TOOLS & KITS,3130833,9907.699367088608,1754
ADVENTURING,2,2019,ADVENTURING EQUIPMENT,5910712,10351.509632224168,3124
ADVENTURING,2,2019,ANIMALS & TRANSPORTATION,1034957,10146.637254901962,595
ADVENTURING,2,2019,ARMS & ARMOUR,4504090,9964.800884955752,2425
ADVENTURING,2,2019,JEWELRY,672071,9601.014285714286,420
ADVENTURING,2,2019,MUSICAL INSTRUMENT,813000,9795.180722891566,459
ADVENTURING,2,2019,POTIONS & SCROLLS,2263142,10103.3125,1295
ADVENTURING,2,2019,SUMMONING DEVICE,44418,14806,13
ADVENTURING,2,2019,TOOLS & KITS,3503932,9733.144444444444,2005
ADVENTURING,2,2020,ADVENTURING EQUIPMENT,4960819,9784.652859960552,2737
ADVENTURING,2,2020,ANIMALS & TRANSPORTATION,1077515,9369.695652173914,612
ADVENTURING,2,2020,ARMS & ARMOUR,7909962,12495.990521327014,3406
ADVENTURING,2,2020,JEWELRY,740083,10278.930555555555,389
ADVENTURING,2,2020,MUSICAL INSTRUMENT,884328,10527.714285714286,507
ADVENTURING,2,2020,POTIONS & SCROLLS,1810972,10174,1021
ADVENTURING,2,2020,SUMMONING DEVICE,7508,7508,10
ADVENTURING,2,2020,TOOLS & KITS,3467177,9934.60458452722,1983
ADVENTURING,2,2021,ADVENTURING EQUIPMENT,5283628,9894.434456928839,2925
ADVENTURING,2,2021,ANIMALS & TRANSPORTATION,989430,10415.052631578947,566
ADVENTURING,2,2021,ARMS & ARMOUR,11018795,14162.975578406169,4323
ADVENTURING,2,2021,JEWELRY,531436,9662.472727272727,306
ADVENTURING,2,2021,MUSICAL INSTRUMENT,734060,9062.469135802468,456
ADVENTURING,2,2021,POTIONS & SCROLLS,1678952,9225.010989010989,941
ADVENTURING,2,2021,SUMMONING DEVICE,19581,6527,11
ADVENTURING,2,2021,TOOLS & KITS,2951398,9582.461038961039,1661
ADVENTURING,2,2022,ADVENTURING EQUIPMENT,5280079,9723.902394106814,3019
ADVENTURING,2,2022,ANIMALS & TRANSPORTATION,1098339,9719.814159292035,604
ADVENTURING,2,2022,ARMS & ARMOUR,10034068,14458.311239193084,3793
ADVENTURING,2,2022,JEWELRY,567952,9626.305084745763,322
ADVENTURING,2,2022,MUSICAL INSTRUMENT,954282,9737.57142857143,530
ADVENTURING,2,2022,POTIONS & SCROLLS,2244921,9933.278761061947,1246
ADVENTURING,2,2022,SUMMONING DEVICE,46458,11614.5,19
ADVENTURING,2,2022,TOOLS & KITS,3243014,10495.190938511327,1816
ADVENTURING,2,2023,ADVENTURING EQUIPMENT,5002120,9750.721247563353,2817
ADVENTURING,2,2023,ANIMALS & TRANSPORTATION,1014866,9949.666666666666,531
ADVENTURING,2,2023,ARMS & ARMOUR,8969994,13821.254237288136,3666
ADVENTURING,2,2023,JEWELRY,585615,10647.545454545454,303
ADVENTURING,2,2023,MUSICAL INSTRUMENT,770072,9747.746835443038,427
ADVENTURING,2,2023,POTIONS & SCROLLS,1976231,9980.964646464647,1015
ADVENTURING,2,2023,SUMMONING DEVICE,12312,12312,6
ADVENTURING,2,2023,TOOLS & KITS,3370441,10275.734756097561,1865
ADVENTURING,3,2019,ADVENTURING EQUIPMENT,5632298,9644.34589041096,3169
ADVENTURING,3,2019,ANIMALS & TRANSPORTATION,1156181,9967.077586206897,627
ADVENTURING,3,2019,ARMS & ARMOUR,4963845,10048.26923076923,2696
ADVENTURING,3,2019,JEWELRY,789560,10669.72972972973,414
ADVENTURING,3,2019,MUSICAL INSTRUMENT,1005128,10152.808080808081,554
ADVENTURING,3,2019,POTIONS & SCROLLS,2329274,9996.884120171673,1350
ADVENTURING,3,2019,SUMMONING DEVICE,52769,10553.8,24
ADVENTURING,3,2019,TOOLS & KITS,3650864,9787.839142091152,2018
ADVENTURING,3,2020,ADVENTURING EQUIPMENT,5550267,9946.71505376344,3116
ADVENTURING,3,2020,ANIMALS & TRANSPORTATION,1016905,9329.40366972477,608
ADVENTURING,3,2020,ARMS & ARMOUR,7552011,11477.22036474164,3804
ADVENTURING,3,2020,JEWELRY,662571,10193.4,360
ADVENTURING,3,2020,MUSICAL INSTRUMENT,783567,9555.69512195122,471
ADVENTURING,3,2020,POTIONS & SCROLLS,1710463,9887.069364161849,955
ADVENTURING,3,2020,SUMMONING DEVICE,57540,14385,18
ADVENTURING,3,2020,TOOLS & KITS,3008945,10131.127946127946,1524
ADVENTURING,3,2021,ADVENTURING EQUIPMENT,5288101,10268.157281553398,2854
ADVENTURING,3,2021,ANIMALS & TRANSPORTATION,961406,9244.288461538461,546
ADVENTURING,3,2021,ARMS & ARMOUR,11343985,14341.321112515803,4422
ADVENTURING,3,2021,JEWELRY,723517,10048.847222222223,439
ADVENTURING,3,2021,MUSICAL INSTRUMENT,731490,9885,444
ADVENTURING,3,2021,POTIONS & SCROLLS,1550677,9513.35582822086,914
ADVENTURING,3,2021,SUMMONING DEVICE,35997,11999,12
ADVENTURING,3,2021,TOOLS & KITS,2907584,10347.274021352314,1529
ADVENTURING,3,2022,ADVENTURING EQUIPMENT,5551757,9791.458553791887,3100
ADVENTURING,3,2022,ANIMALS & TRANSPORTATION,1215409,9881.373983739837,640
ADVENTURING,3,2022,ARMS & ARMOUR,12981538,15697.143893591294,4524
ADVENTURING,3,2022,JEWELRY,711405,10461.838235294117,359
ADVENTURING,3,2022,MUSICAL INSTRUMENT,749174,10123.972972972973,397
ADVENTURING,3,2022,POTIONS & SCROLLS,2048383,10397.883248730965,1063
ADVENTURING,3,2022,SUMMONING DEVICE,48295,16098.333333333334,15
ADVENTURING,3,2022,TOOLS & KITS,3196071,9956.607476635514,1788
ADVENTURING,3,2023,ADVENTURING EQUIPMENT,4949625,9743.356299212599,2759
ADVENTURING,3,2023,ANIMALS & TRANSPORTATION,1194430,10296.810344827587,617
ADVENTURING,3,2023,ARMS & ARMOUR,9741911,13682.45926966292,3959
ADVENTURING,3,2023,JEWELRY,600972,10185.966101694916,309
ADVENTURING,3,2023,MUSICAL INSTRUMENT,883341,9298.326315789474,558
ADVENTURING,3,2023,POTIONS & SCROLLS,1995984,10235.815384615385,1103
ADVENTURING,3,2023,SUMMONING DEVICE,18108,9054,14
ADVENTURING,3,2023,TOOLS & KITS,3107383,9771.64465408805,1724
ADVENTURING,4,2019,ADVENTURING EQUIPMENT,5655730,10301.876138433516,3119
ADVENTURING,4,2019,ANIMALS & TRANSPORTATION,1188893,11771.217821782178,590
ADVENTURING,4,2019,ARMS & ARMOUR,4794780,10115.569620253165,2595
ADVENTURING,4,2019,JEWELRY,748271,10844.507246376812,328
ADVENTURING,4,2019,MUSICAL INSTRUMENT,947216,10295.826086956522,514
ADVENTURING,4,2019,POTIONS & SCROLLS,2018707,9612.890476190476,1191
ADVENTURING,4,2019,SUMMONING DEVICE,36757,12252.333333333334,12
ADVENTURING,4,2019,TOOLS & KITS,3627331,9803.597297297298,1990
ADVENTURING,4,2020,ADVENTURING EQUIPMENT,4976917,10240.569958847736,2683
ADVENTURING,4,2020,ANIMALS & TRANSPORTATION,1016053,9961.303921568628,564
ADVENTURING,4,2020,ARMS & ARMOUR,7392037,12137.991789819376,3242
ADVENTURING,4,2020,JEWELRY,727791,9835.013513513513,396
ADVENTURING,4,2020,MUSICAL INSTRUMENT,759023,9487.7875,452
ADVENTURING,4,2020,POTIONS & SCROLLS,1789697,9469.296296296296,952
ADVENTURING,4,2020,SUMMONING DEVICE,83886,13981,30
ADVENTURING,4,2020,TOOLS & KITS,3158319,10058.34076433121,1735
ADVENTURING,4,2021,ADVENTURING EQUIPMENT,5051079,10061.910358565738,2707
ADVENTURING,4,2021,ANIMALS & TRANSPORTATION,1008310,9695.288461538461,558
ADVENTURING,4,2021,ARMS & ARMOUR,9966524,13978.294530154277,3950
ADVENTURING,4,2021,JEWELRY,545936,9253.152542372882,335
ADVENTURING,4,2021,MUSICAL INSTRUMENT,737425,9832.333333333334,384
ADVENTURING,4,2021,POTIONS & SCROLLS,2012337,10061.685,1156
ADVENTURING,4,2021,SUMMONING DEVICE,13779,6889.5,8
ADVENTURING,4,2021,TOOLS & KITS,2872151,9836.133561643835,1571
ADVENTURING,4,2022,ADVENTURING EQUIPMENT,5289062,9669.217550274223,2980
ADVENTURING,4,2022,ANIMALS & TRANSPORTATION,1148844,10444.036363636364,546
ADVENTURING,4,2022,ARMS & ARMOUR,11154683,15176.439455782313,3995
ADVENTURING,4,2022,JEWELRY,511131,9643.981132075472,301
ADVENTURING,4,2022,MUSICAL INSTRUMENT,738782,8795.02380952381,461
ADVENTURING,4,2022,POTIONS & SCROLLS,1861201,9306.005,1049
ADVENTURING,4,2022,SUMMONING DEVICE,7128,7128,9
ADVENTURING,4,2022,TOOLS & KITS,3630515,10112.855153203343,1940
ADVENTURING,4,2023,ADVENTURING EQUIPMENT,4512697,9401.452083333334,2663
ADVENTURING,4,2023,ANIMALS & TRANSPORTATION,958111,9486.247524752474,554
ADVENTURING,4,2023,ARMS & ARMOUR,9749199,13503.045706371191,3873
ADVENTURING,4,2023,JEWELRY,483854,9304.884615384615,279
ADVENTURING,4,2023,MUSICAL INSTRUMENT,904566,10279.15909090909,513
ADVENTURING,4,2023,POTIONS & SCROLLS,1921339,10112.310526315789,1029
ADVENTURING,4,2023,SUMMONING DEVICE,12054,12054,10
ADVENTURING,4,2023,TOOLS & KITS,3008965,10269.505119453925,1648
ADVENTURING,5,2019,ADVENTURING EQUIPMENT,5443338,10024.563535911602,3033
ADVENTURING,5,2019,ANIMALS & TRANSPORTATION,1066717,10561.554455445545,564
ADVENTURING,5,2019,ARMS & ARMOUR,4247794,9832.856481481482,2394
ADVENTURING,5,2019,JEWELRY,705385,10076.92857142857,364
ADVENTURING,5,2019,MUSICAL INSTRUMENT,813797,9247.693181818182,496
ADVENTURING,5,2019,POTIONS & SCROLLS,1861783,9747.554973821989,1027
ADVENTURING,5,2019,SUMMONING DEVICE,2761,2761,1
ADVENTURING,5,2019,TOOLS & KITS,3379370,9208.09264305177,2080
ADVENTURING,5,2020,ADVENTURING EQUIPMENT,5673109,10040.900884955752,3084
ADVENTURING,5,2020,ANIMALS & TRANSPORTATION,1444428,10620.79411764706,762
ADVENTURING,5,2020,ARMS & ARMOUR,6812228,11888.705061082024,3163
ADVENTURING,5,2020,JEWELRY,605178,9455.90625,345
ADVENTURING,5,2020,MUSICAL INSTRUMENT,806543,10753.906666666666,411
ADVENTURING,5,2020,POTIONS & SCROLLS,1651068,9223.843575418994,908
ADVENTURING,5,2020,SUMMONING DEVICE,10209,10209,5
ADVENTURING,5,2020,TOOLS & KITS,3231255,10594.27868852459,1693
ADVENTURING,5,2021,ADVENTURING EQUIPMENT,4707913,9995.569002123142,2576
ADVENTURING,5,2021,ANIMALS & TRANSPORTATION,1209848,10998.618181818181,617
ADVENTURING,5,2021,ARMS & ARMOUR,10717590,14405.362903225807,4111
ADVENTURING,5,2021,JEWELRY,768436,10977.657142857142,402
ADVENTURING,5,2021,MUSICAL INSTRUMENT,669206,9698.63768115942,352
ADVENTURING,5,2021,POTIONS & SCROLLS,1993693,10018.557788944723,1118
ADVENTURING,5,2021,SUMMONING DEVICE,44019,11004.75,25
ADVENTURING,5,2021,TOOLS & KITS,3041035,9715.766773162939,1745
ADVENTURING,5,2022,ADVENTURING EQUIPMENT,5486513,9885.60900900901,3125
ADVENTURING,5,2022,ANIMALS & TRANSPORTATION,1066199,9692.718181818182,634
ADVENTURING,5,2022,ARMS & ARMOUR,10998814,14823.199460916441,4054
ADVENTURING,5,2022,JEWELRY,621810,10029.193548387097,337
ADVENTURING,5,2022,MUSICAL INSTRUMENT,610484,8977.70588235294,333
ADVENTURING,5,2022,POTIONS & SCROLLS,1844384,9362.355329949238,1124
ADVENTURING,5,2022,SUMMONING DEVICE,57808,14452,22
ADVENTURING,5,2022,TOOLS & KITS,3037793,9674.5,1691
ADVENTURING,5,2023,ADVENTURING EQUIPMENT,4508841,9472.355042016807,2578
ADVENTURING,5,2023,ANIMALS & TRANSPORTATION,946900,10181.720430107527,502
ADVENTURING,5,2023,ARMS & ARMOUR,9915810,13436.056910569107,4006
ADVENTURING,5,2023,JEWELRY,645454,9633.641791044776,356
ADVENTURING,5,2023,MUSICAL INSTRUMENT,682015,10179.328358208955,374
ADVENTURING,5,2023,POTIONS & SCROLLS,1804780,10432.254335260115,986
ADVENTURING,5,2023,SUMMONING DEVICE,35078,11692.666666666666,22
ADVENTURING,5,2023,TOOLS & KITS,3289260,9997.75075987842,1764
ADVENTURING,6,2019,ADVENTURING EQUIPMENT,5642552,10040.128113879004,3198
ADVENTURING,6,2019,ANIMALS & TRANSPORTATION,932406,10595.522727272728,524
ADVENTURING,6,2019,ARMS & ARMOUR,4361248,9979.972540045766,2482
ADVENTURING,6,2019,JEWELRY,818660,10771.842105263158,418
ADVENTURING,6,2019,MUSICAL INSTRUMENT,895833,10065.539325842698,534
ADVENTURING,6,2019,POTIONS & SCROLLS,2083171,10574.472081218275,1082
ADVENTURING,6,2019,SUMMONING DEVICE,31987,10662.333333333334,16
ADVENTURING,6,2019,TOOLS & KITS,3592124,10005.91643454039,1902
ADVENTURING,6,2020,ADVENTURING EQUIPMENT,5529351,10035.119782214157,2951
ADVENTURING,6,2020,ANIMALS & TRANSPORTATION,1175785,10498.080357142857,630
ADVENTURING,6,2020,ARMS & ARMOUR,6810496,11073.977235772358,3388
ADVENTURING,6,2020,JEWELRY,727145,11186.846153846154,413
ADVENTURING,6,2020,MUSICAL INSTRUMENT,847849,9858.709302325582,481
ADVENTURING,6,2020,POTIONS & SCROLLS,1959839,9750.442786069652,1076
ADVENTURING,6,2020,SUMMONING DEVICE,25498,25498,5
ADVENTURING,6,2020,TOOLS & KITS,3014740,9788.116883116883,1684
ADVENTURING,6,2021,ADVENTURING EQUIPMENT,5371948,10041.02429906542,2833
ADVENTURING,6,2021,ANIMALS & TRANSPORTATION,1002426,9925.009900990099,573
ADVENTURING,6,2021,ARMS & ARMOUR,10764503,13998.053315994799,4269
ADVENTURING,6,2021,JEWELRY,644165,9335.72463768116,372
ADVENTURING,6,2021,MUSICAL INSTRUMENT,790040,9875.5,396
ADVENTURING,6,2021,POTIONS & SCROLLS,2046762,10082.57142857143,1071
ADVENTURING,6,2021,SUMMONING DEVICE,41646,6941,23
ADVENTURING,6,2021,TOOLS & KITS,2993646,9880.019801980197,1657
ADVENTURING,6,2022,ADVENTURING EQUIPMENT,5768672,10210.038938053098,3119
ADVENTURING,6,2022,ANIMALS & TRANSPORTATION,1287598,10820.151260504203,687
ADVENTURING,6,2022,ARMS & ARMOUR,12592072,15859.03274559194,4394
ADVENTURING,6,2022,JEWELRY,718138,9837.506849315068,392
ADVENTURING,6,2022,MUSICAL INSTRUMENT,898268,8721.04854368932,544
ADVENTURING,6,2022,POTIONS & SCROLLS,1773087,9584.254054054054,957
ADVENTURING,6,2022,TOOLS & KITS,3168729,9660.759146341463,1817
ADVENTURING,6,2023,ADVENTURING EQUIPMENT,5520696,10111.164835164835,3056
ADVENTURING,6,2023,ANIMALS & TRANSPORTATION,1101406,10104.642201834862,551
ADVENTURING,6,2023,ARMS & ARMOUR,10237670,15511.621212121212,3554
ADVENTURING,6,2023,JEWELRY,543532,9705.92857142857,283
ADVENTURING,6,2023,MUSICAL INSTRUMENT,756350,10220.945945945947,410
ADVENTURING,6,2023,POTIONS & SCROLLS,1794526,9596.395721925133,987
ADVENTURING,6,2023,SUMMONING DEVICE,55316,11063.2,20
ADVENTURING,6,2023,TOOLS & KITS,3013161,10214.105084745763,1631
ADVENTURING,7,2019,ADVENTURING EQUIPMENT,6088013,10180.623745819397,3220
ADVENTURING,7,2019,ANIMALS & TRANSPORTATION,1238355,10150.45081967213,630
ADVENTURING,7,2019,ARMS & ARMOUR,4168534,9284.04008908686,2527
ADVENTURING,7,2019,JEWELRY,530269,8837.816666666668,320
ADVENTURING,7,2019,MUSICAL INSTRUMENT,743487,9531.884615384615,420
ADVENTURING,7,2019,POTIONS & SCROLLS,1956373,9880.671717171717,1051
ADVENTURING,7,2019,SUMMONING DEVICE,30200,10066.666666666666,14
ADVENTURING,7,2019,TOOLS & KITS,3478049,9852.830028328612,1930
ADVENTURING,7,2020,ADVENTURING EQUIPMENT,5827813,9979.131849315068,3204
ADVENTURING,7,2020,ANIMALS & TRANSPORTATION,1200231,10436.791304347826,612
ADVENTURING,7,2020,ARMS & ARMOUR,8429885,12146.808357348704,3750
ADVENTURING,7,2020,JEWELRY,673435,10360.538461538461,374
ADVENTURING,7,2020,MUSICAL INSTRUMENT,810780,10668.157894736842,451
ADVENTURING,7,2020,POTIONS & SCROLLS,1990198,10258.752577319588,1101
ADVENTURING,7,2020,TOOLS & KITS,3287814,10023.823170731708,1853
ADVENTURING,7,2021,ADVENTURING EQUIPMENT,5222456,9635.527675276753,2907
ADVENTURING,7,2021,ANIMALS & TRANSPORTATION,1163293,11185.509615384615,607
ADVENTURING,7,2021,ARMS & ARMOUR,8200085,12538.35626911315,3604
ADVENTURING,7,2021,JEWELRY,638881,9259.144927536232,361
ADVENTURING,7,2021,MUSICAL INSTRUMENT,850994,10772.075949367088,429
ADVENTURING,7,2021,POTIONS & SCROLLS,1749431,9612.258241758242,1058
ADVENTURING,7,2021,SUMMONING DEVICE,40048,13349.333333333334,17
ADVENTURING,7,2021,TOOLS & KITS,2820863,10003.060283687943,1519
ADVENTURING,7,2022,ADVENTURING EQUIPMENT,5565483,9920.64705882353,3021
ADVENTURING,7,2022,ANIMALS & TRANSPORTATION,1077060,10879.39393939394,541
ADVENTURING,7,2022,ARMS & ARMOUR,10538009,14107.107095046855,4291
ADVENTURING,7,2022,JEWELRY,692923,9898.9,337
ADVENTURING,7,2022,MUSICAL INSTRUMENT,805687,10601.144736842105,398
ADVENTURING,7,2022,POTIONS & SCROLLS,1767537,9158.222797927461,1057
ADVENTURING,7,2022,SUMMONING DEVICE,47670,11917.5,22
ADVENTURING,7,2022,TOOLS & KITS,3458027,9965.49567723343,1916
ADVENTURING,7,2023,ADVENTURING EQUIPMENT,5211245,9632.615526802218,2973
ADVENTURING,7,2023,ANIMALS & TRANSPORTATION,1213805,10554.826086956522,718
ADVENTURING,7,2023,ARMS & ARMOUR,9507193,13679.41438848921,3801
ADVENTURING,7,2023,JEWELRY,723544,9777.621621621622,431
ADVENTURING,7,2023,MUSICAL INSTRUMENT,867083,9424.815217391304,517
ADVENTURING,7,2023,POTIONS & SCROLLS,1883819,9372.233830845771,1062
ADVENTURING,7,2023,SUMMONING DEVICE,57167,11433.4,24
ADVENTURING,7,2023,TOOLS & KITS,2781487,9624.52249134948,1532
ADVENTURING,8,2019,ADVENTURING EQUIPMENT,5833230,9886.830508474577,3208
ADVENTURING,8,2019,ANIMALS & TRANSPORTATION,1245069,10375.575,661
ADVENTURING,8,2019,ARMS & ARMOUR,4406934,9903.222471910112,2543
ADVENTURING,8,2019,JEWELRY,614766,10419.762711864407,350
ADVENTURING,8,2019,MUSICAL INSTRUMENT,732722,9159.025,400
ADVENTURING,8,2019,POTIONS & SCROLLS,2000860,9856.453201970444,1105
ADVENTURING,8,2019,TOOLS & KITS,3239291,9583.701183431953,1810
ADVENTURING,8,2020,ADVENTURING EQUIPMENT,4691924,9774.841666666667,2642
ADVENTURING,8,2020,ANIMALS & TRANSPORTATION,1322580,11208.305084745763,668
ADVENTURING,8,2020,ARMS & ARMOUR,8013953,12863.487961476725,3413
ADVENTURING,8,2020,JEWELRY,646708,11345.754385964912,322
ADVENTURING,8,2020,MUSICAL INSTRUMENT,675885,9258.698630136987,401
ADVENTURING,8,2020,POTIONS & SCROLLS,1874888,9714.445595854922,999
ADVENTURING,8,2020,SUMMONING DEVICE,11337,11337,8
ADVENTURING,8,2020,TOOLS & KITS,3218244,9722.791540785498,1875
ADVENTURING,8,2021,ADVENTURING EQUIPMENT,4614094,10008.880694143167,2622
ADVENTURING,8,2021,ANIMALS & TRANSPORTATION,1203303,10111.789915966387,596
ADVENTURING,8,2021,ARMS & ARMOUR,10874006,13712.491803278688,4449
ADVENTURING,8,2021,JEWELRY,552752,10236.148148148148,319
ADVENTURING,8,2021,MUSICAL INSTRUMENT,757727,10824.671428571428,434
ADVENTURING,8,2021,POTIONS & SCROLLS,1880040,9741.139896373057,1079
ADVENTURING,8,2021,SUMMONING DEVICE,34389,6877.8,22
ADVENTURING,8,2021,TOOLS & KITS,3640557,10965.533132530121,1856
ADVENTURING,8,2022,ADVENTURING EQUIPMENT,6077847,10371.752559726963,3249
ADVENTURING,8,2022,ANIMALS & TRANSPORTATION,1169758,9747.983333333334,618
ADVENTURING,8,2022,ARMS & ARMOUR,12287239,15553.467088607595,4525
ADVENTURING,8,2022,JEWELRY,791456,11147.267605633802,418
ADVENTURING,8,2022,MUSICAL INSTRUMENT,768449,10245.986666666666,424
ADVENTURING,8,2022,POTIONS & SCROLLS,1933650,10566.393442622952,991
ADVENTURING,8,2022,SUMMONING DEVICE,8959,8959,4
ADVENTURING,8,2022,TOOLS & KITS,3416923,9847.040345821326,1889
ADVENTURING,8,2023,ADVENTURING EQUIPMENT,5272645,10338.519607843138,2840
ADVENTURING,8,2023,ANIMALS & TRANSPORTATION,1151310,10188.58407079646,597
ADVENTURING,8,2023,ARMS & ARMOUR,9099794,12981.16119828816,3808
ADVENTURING,8,2023,JEWELRY,744901,9932.013333333334,411
ADVENTURING,8,2023,MUSICAL INSTRUMENT,735295,8858.975903614459,461
ADVENTURING,8,2023,POTIONS & SCROLLS,2127189,10478.763546798029,1098
ADVENTURING,8,2023,SUMMONING DEVICE,31100,10366.666666666666,13
ADVENTURING,8,2023,TOOLS & KITS,3072743,9662.713836477988,1670
ADVENTURING,9,2019,ADVENTURING EQUIPMENT,5472575,9772.455357142857,3083
ADVENTURING,9,2019,ANIMALS & TRANSPORTATION,1362519,11168.188524590163,678
ADVENTURING,9,2019,ARMS & ARMOUR,4559542,10043.044052863435,2375
ADVENTURING,9,2019,JEWELRY,707199,9066.653846153846,375
ADVENTURING,9,2019,MUSICAL INSTRUMENT,1121626,10682.15238095238,563
ADVENTURING,9,2019,POTIONS & SCROLLS,2151240,9561.066666666668,1224
ADVENTURING,9,2019,SUMMONING DEVICE,31207,15603.5,10
ADVENTURING,9,2019,TOOLS & KITS,3608094,9520.036939313984,2088
ADVENTURING,9,2020,ADVENTURING EQUIPMENT,5552148,10224.950276243095,3024
ADVENTURING,9,2020,ANIMALS & TRANSPORTATION,1079446,10088.280373831776,592
ADVENTURING,9,2020,ARMS & ARMOUR,8038980,12821.33971291866,3448
ADVENTURING,9,2020,JEWELRY,705102,11751.7,303
ADVENTURING,9,2020,MUSICAL INSTRUMENT,623330,9894.126984126984,344
ADVENTURING,9,2020,POTIONS & SCROLLS,1905026,9338.362745098038,1058
ADVENTURING,9,2020,SUMMONING DEVICE,44628,14876,17
ADVENTURING,9,2020,TOOLS & KITS,3019898,10633.44366197183,1557
ADVENTURING,9,2021,ADVENTURING EQUIPMENT,4918353,9513.255319148937,2795
ADVENTURING,9,2021,ANIMALS & TRANSPORTATION,1090930,9917.545454545454,584
ADVENTURING,9,2021,ARMS & ARMOUR,11132420,14038.360655737704,4341
ADVENTURING,9,2021,JEWELRY,801033,9651,421
ADVENTURING,9,2021,MUSICAL INSTRUMENT,780817,9760.2125,432
ADVENTURING,9,2021,POTIONS & SCROLLS,2117241,10328.004878048781,1131
ADVENTURING,9,2021,SUMMONING DEVICE,13138,6569,10
ADVENTURING,9,2021,TOOLS & KITS,3255799,10335.869841269841,1814
ADVENTURING,9,2022,ADVENTURING EQUIPMENT,5278612,10190.370656370656,2865
ADVENTURING,9,2022,ANIMALS & TRANSPORTATION,870341,9358.505376344086,529
ADVENTURING,9,2022,ARMS & ARMOUR,10986845,14610.166223404256,4194
ADVENTURING,9,2022,JEWELRY,742512,10033.945945945947,417
ADVENTURING,9,2022,MUSICAL INSTRUMENT,795891,9705.987804878048,468
ADVENTURING,9,2022,POTIONS & SCROLLS,1934946,9922.8,1091
ADVENTURING,9,2022,SUMMONING DEVICE,12816,12816,4
ADVENTURING,9,2022,TOOLS & KITS,3200780,9878.95061728395,1802
ADVENTURING,9,2023,ADVENTURING EQUIPMENT,5503098,10005.632727272727,2916
ADVENTURING,9,2023,ANIMALS & TRANSPORTATION,1173086,9941.406779661016,614
ADVENTURING,9,2023,ARMS & ARMOUR,10702249,13917.098829648894,4178
ADVENTURING,9,2023,JEWELRY,683261,11201,319
ADVENTURING,9,2023,MUSICAL INSTRUMENT,825195,10063.353658536585,443
